step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
114,5.347962,53479.62,12150951.38,0.156655,52264.52
115,6.920984,69209.84,12257837.54,0.220416,67984.06
116,3.503981,35039.81,12399525.73,0.154555,33799.86
117,6.266972,62669.72,12511888.01,0.152699,61418.53
118,3.590541,35905.41,12650710.60,0.151510,34640.34
119,7.743250,77432.50,12748358.10,0.154539,76157.66
120,5.060279,50602.79,12875427.31,0.153963,49315.25
121,3.991644,39916.44,13011606.86,0.154295,38615.28
122,10.531895,105318.95,13081103.91,0.154344,104010.84
123,6.205712,62057.12,13194430.79,0.153541,60737.68
124,6.577872,65778.72,13304932.08,0.155150,64448.22
125,2.914484,29144.84,13453699.24,0.154365,27799.47
126,11.876066,118760.66,13510058.58,0.155474,117409.65
127,4.104105,41041.05,13646545.53,0.155705,39676.39
128,10.184441,101844.41,13720829.12,0.154206,100472.33
129,8.973851,89738.51,13808202.61,0.152350,88357.69
130,12.408103,124081.03,13860329.58,0.155227,122695.00
131,12.859409,128594.09,13909207.48,0.154346,127203.17
132,7.733624,77336.24,14005615.24,0.274660,75935.68
133,5.054398,50543.98,14130839.27,0.156057,49130.90
134,2.262808,22628.08,14285019.19,0.153960,21199.57
135,4.519273,45192.73,14414922.46,0.155180,43751.24
136,4.655734,46557.34,14544333.12,0.154551,45102.91
137,8.134287,81342.87,14640822.24,0.152887,79878.79
138,3.064205,30642.05,14786468.19,0.155379,29163.40
139,2.680951,26809.51,14937506.68,0.154458,25315.76
140,5.491717,54917.17,15056365.51,0.153850,53411.54
141,8.205919,82059.19,15150458.32,0.151808,80544.15
142,12.033881,120338.81,15204239.51,0.154812,118818.38
143,10.511204,105112.04,15276007.47,0.155995,103584.44
144,3.252177,32521.77,15419989.70,0.155177,30979.78
145,4.095433,40954.33,15555339.37,0.154133,39398.80
146,6.905236,69052.36,15662455.00,0.159983,67486.11
147,10.920922,109209.22,15731469.78,0.210554,107636.08
148,8.207916,82079.16,15826142.62,0.154840,80496.54
149,9.650310,96503.10,15907119.53,0.153525,94912.39
150,6.150199,61501.99,16024201.53,0.155927,59899.57
151,1.457867,14578.67,16185038.86,0.155630,12960.17
152,4.430837,44308.37,16317954.49,0.154742,42676.57
153,2.958525,29585.25,16465873.25,0.158456,27938.66
154,3.958294,39582.94,16600634.31,0.154563,37922.87
155,8.440624,84406.24,16692412.07,0.152525,82737.00
156,3.307811,33078.11,16835573.97,0.157637,31394.55
157,11.213709,112137.09,16899484.88,0.153684,110447.14
158,8.838927,88389.27,16988983.60,0.154032,86690.38
159,7.924001,79240.01,17085151.60,0.197067,77531.49
160,7.526442,75264.42,17186151.17,0.155581,73545.81
161,12.878954,128789.54,17235049.63,0.153320,127066.04
162,2.854882,28548.82,17381244.82,0.153752,26810.69
163,5.813004,58130.04,17498354.78,0.153554,56380.20
164,2.998763,29987.63,17645031.15,0.155333,28223.13
165,5.019697,50196.97,17772690.18,0.164702,48419.70
166,12.501899,125018.99,17825111.19,0.159263,123236.47
167,4.666135,46661.35,17954761.84,0.160025,44865.88
168,4.056487,40564.87,18090740.97,0.155300,38755.79
169,9.144714,91447.14,18175597.83,0.154823,89629.58
170,4.744158,47441.58,18305260.25,0.157042,45611.05
171,5.738288,57382.88,18421765.37,0.156324,55540.70
172,4.327660,43276.60,18552792.77,0.156736,41421.32
173,4.938315,49383.15,18681097.61,0.153485,47515.04
174,4.861482,48614.82,18808970.79,0.155234,46733.93
175,10.782317,107823.17,18878307.62,0.152371,105935.34
176,2.861414,28614.14,19026349.49,0.154713,26711.50
177,10.495758,104957.58,19098351.91,0.153484,103047.75
178,3.010475,30104.75,19246703.16,0.155966,28180.08
