step,spectral_efficiency_bps_hz,throughput_bits,total_queue_bits,ric_latency_ms,reward
491,10.064604,100646.04,52734828.38,0.200960,95372.56
492,8.221928,82219.28,52828321.10,0.155509,76936.45
493,5.665369,56653.69,52946963.40,0.153976,51358.99
494,5.699733,56997.33,53063766.08,0.154440,51690.95
495,8.765014,87650.14,53150547.93,0.154584,82335.09
496,4.471371,44713.71,53279746.22,0.154822,39385.74
497,5.907608,59076.08,53396462.14,0.151760,53736.43
498,8.304494,83044.94,53491929.20,0.152660,77695.74
499,10.612879,106128.79,53561888.41,0.155482,100772.61
500,8.148918,81489.18,53655871.23,0.152303,76123.59
