agent,num_ues,carrier_freq_ghz,bandwidth_mhz,cbr_profile,speed_profile,seed,num_steps,spectral_efficiency_bps_hz,queue_delay_p95_ms,ric_latency_mean_ms,total_reward,mean_throughput_bits,mean_queue_bits
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",44,5,7.980960,0.0000,0.008831,399048.00,79809.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",43,5,7.961120,0.0000,0.009412,398056.00,79611.20,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",45,5,7.941440,0.0000,0.009206,397071.94,79414.40,120.84
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",47,5,8.003200,0.0000,0.008840,400160.00,80032.00,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",48,5,7.959360,0.0000,0.009449,397968.00,79593.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",46,5,8.077440,0.0000,0.008954,403872.00,80774.40,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",50,5,7.988160,0.0000,0.009234,399408.00,79881.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",49,5,8.017280,0.0000,0.010473,400864.00,80172.80,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",42,5,8.082720,0.0000,0.009631,404136.00,80827.20,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",43,5,7.961120,0.0000,0.009204,398056.00,79611.20,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(3.0,)",51,5,8.003840,0.0000,0.009823,400192.00,80038.40,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",45,5,7.934049,0.0115,0.009086,396702.06,79340.49,766.95
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",46,5,8.077440,0.0000,0.008572,403871.98,80774.40,37.30
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",44,5,7.980960,0.0000,0.012273,399048.00,79809.60,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",49,5,8.017280,0.0000,0.010074,400864.00,80172.80,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",50,5,7.988160,0.0000,0.008985,399408.00,79881.60,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",47,5,8.003200,0.0000,0.009032,400160.00,80032.00,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",48,5,7.959360,0.0000,0.008709,397967.99,79593.60,11.63
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",42,5,16.788783,2.5376,0.009117,839209.74,167887.83,458825.69
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",44,5,16.971448,2.5752,0.009286,848350.15,169714.48,444527.93
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",43,5,18.095480,2.5277,0.009458,904563.88,180954.80,420236.38
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",45,5,17.294195,2.6411,0.010057,864494.65,172941.95,430181.08
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",46,5,18.377327,2.6255,0.009811,918658.05,183773.27,416577.73
RoundRobin,10,2.0,10.0,"(1000,)","(3.0,)",51,5,8.003840,0.0000,0.010339,400191.97,80038.40,54.27
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",48,5,18.153190,2.4444,0.009495,907452.31,181531.90,414340.57
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",49,5,18.526833,2.5734,0.008936,926138.87,185268.33,405515.17
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",47,5,17.023615,2.5186,0.009735,850956.56,170236.15,448360.52
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",51,5,17.117322,2.7245,0.008919,855641.41,171173.22,449367.89
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",42,5,14.062622,2.9636,0.009207,702860.78,140626.22,540610.77
RoundRobin,10,0.7,10.0,"(4000,)","(3.0,)",50,5,19.131906,2.5609,0.009492,956401.24,191319.06,388173.93
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",43,5,15.369329,2.9537,0.009720,768215.46,153693.29,502020.30
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",46,5,15.651334,3.0391,0.010276,782317.51,156513.34,498357.38
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",44,5,14.245385,3.0012,0.009952,712006.08,142453.85,526310.62
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",45,5,14.568892,3.0562,0.009834,728188.65,145688.92,511929.57
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",47,5,14.297427,2.9446,0.009557,714606.26,142974.27,530146.23
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",48,5,15.427058,2.8704,0.012707,771104.84,154270.58,496124.94
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",49,5,15.800693,2.9993,0.009724,789791.00,158006.93,487299.62
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",51,5,14.391367,3.1505,0.009336,719302.80,143913.67,531145.25
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",43,5,7.961120,0.0000,0.018882,398056.00,79611.20,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",42,5,8.082720,0.0000,0.010128,404136.00,80827.20,0.00
RoundRobin,10,2.0,10.0,"(4000,)","(3.0,)",50,5,16.405764,2.9869,0.009930,820053.23,164057.64,469957.42
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",44,5,7.980960,0.0000,0.011867,399048.00,79809.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",46,5,8.077440,0.0000,0.009021,403872.00,80774.40,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",47,5,8.003200,0.0000,0.009634,400160.00,80032.00,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",49,5,8.017280,0.0000,0.009446,400864.00,80172.80,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",48,5,7.959360,0.0000,0.009325,397968.00,79593.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",51,5,8.003840,0.0000,0.010037,400192.00,80038.40,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",50,5,7.988160,0.0000,0.010167,399408.00,79881.60,0.00
RoundRobin,10,0.7,10.0,"(1000,)","(20.0,)",45,5,7.941440,0.0000,0.010799,397071.94,79414.40,120.83
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",42,5,8.082720,0.0000,0.009794,404136.00,80827.20,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",43,5,7.961120,0.0000,0.009167,398056.00,79611.20,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",47,5,8.003200,0.0000,0.010755,400160.00,80032.00,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",44,5,7.980960,0.0000,0.009670,399048.00,79809.60,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",45,5,7.934047,0.0115,0.009781,396701.97,79340.47,766.93
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",46,5,8.077440,0.0000,0.008687,403871.98,80774.40,37.27
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",48,5,7.959360,0.0000,0.008842,397967.99,79593.60,11.70
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",49,5,8.017280,0.0000,0.008838,400864.00,80172.80,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",50,5,7.988160,0.0000,0.008747,399408.00,79881.60,0.00
RoundRobin,10,2.0,10.0,"(1000,)","(20.0,)",51,5,8.003840,0.0000,0.008735,400191.97,80038.40,54.27
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",43,5,18.095471,2.5277,0.012954,904563.41,180954.71,420236.66
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",42,5,16.788723,2.5376,0.010494,839206.73,167887.23,458827.09
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",45,5,17.294261,2.6411,0.009981,864497.97,172942.61,430179.48
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",44,5,16.971449,2.5752,0.025325,848350.20,169714.49,444527.97
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",49,5,18.526808,2.5734,0.038518,926137.65,185268.08,405515.83
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",48,5,18.153231,2.4444,0.010554,907454.39,181532.31,414339.61
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",46,5,18.377370,2.6254,0.010144,918660.23,183773.70,416576.69
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",42,5,14.062562,2.9636,0.009288,702857.77,140625.62,540612.17
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",50,5,19.131908,2.5609,0.013926,956401.31,191319.08,388173.93
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",43,5,15.369320,2.9536,0.009355,768214.99,153693.20,502020.58
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",44,5,14.245386,3.0012,0.008593,712006.13,142453.86,526310.66
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",51,5,17.117288,2.7245,0.011888,855639.73,171172.88,449368.71
RoundRobin,10,0.7,10.0,"(4000,)","(20.0,)",47,5,17.023622,2.5186,0.010093,850956.91,170236.22,448360.41
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",46,5,15.651378,3.0391,0.009063,782319.70,156513.78,498356.34
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",48,5,15.427100,2.8703,0.009775,771106.92,154271.00,496123.98
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",47,5,14.297434,2.9446,0.009940,714606.61,142974.34,530146.12
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",49,5,15.800669,2.9993,0.009169,789789.78,158006.69,487300.28
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",51,5,14.391334,3.1505,0.008968,719301.13,143913.34,531146.07
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",50,5,16.405766,2.9868,0.012079,820053.31,164057.66,469957.42
RoundRobin,10,2.0,10.0,"(4000,)","(20.0,)",45,5,14.568959,3.0562,0.009001,728191.97,145689.59,511927.97
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",43,5,17.256802,2.4456,0.009179,862737.79,172568.02,204598.54
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",44,5,16.866043,2.6141,0.008848,843194.84,168660.43,214605.22
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",45,5,16.563847,2.5560,0.009243,828079.56,165638.47,225609.51
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",46,5,17.436615,2.4062,0.009809,871734.38,174366.15,192745.94
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",42,5,17.001480,2.4760,0.010414,849968.06,170014.80,211885.23
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",48,5,17.488442,2.4926,0.010190,874324.30,174884.42,195626.77
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",49,5,17.410313,2.5483,0.008962,870416.57,174103.13,198170.62
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",50,5,16.838219,2.4573,0.009066,841803.47,168382.19,214942.42
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",51,5,17.830675,2.4645,0.009235,891441.26,178306.75,185006.09
RoundRobin,30,0.7,10.0,"(1000,)","(0.0,)",47,5,16.619544,2.5429,0.010104,830865.71,166195.44,222983.86
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",42,5,14.387710,2.9658,0.009502,719240.08,143877.10,290797.36
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",44,5,14.206378,2.9324,0.010675,710171.98,142063.78,293819.88
RoundRobin,30,2.0,10.0,"(1000,)","(0.0,)",43,5,14.878415,2.8158,0.009290,743783.05,148784.15,275440.43
